PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
g8Quj,5rk1/5p2/pq4bp/6p1/3pN3/1P4P1/PQ3P1P/4R1K1 b - - 1 31,f8e8 e4f6 b6f6 e1e8,785,78,100,1436,advantage discoveredAttack endgame short,https://lichess.org/IXRORINE/black#62,
ls37q,rnb1k1nr/ppp2ppp/8/2b1P3/3q4/6N1/PPPP2PP/R1BQKBNR w KQkq - 3 7,g1f3 d4f2,785,79,100,1500,mate mateIn1 oneMove opening,https://lichess.org/PiddQCSI#13,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
R5s5D,r7/ppp1qk2/3pp1Q1/3nP3/NP6/P5RP/5rP1/6K1 b - - 3 24,f7f8 g6g8,790,90,100,1453,mate mateIn1 middlegame oneMove,https://lichess.org/RBM4L0JO/black#48,
IAmnW,rnbq1rk1/1pp1bp2/4pn1R/1p1p2p1/8/4P3/PBPPBP2/RN1QK1N1 b Q - 0 11,f6e4 h6h8,791,78,100,1374,mate mateIn1 oneMove opening operaMate,https://lichess.org/HTx23bGu/black#22,Polish_Opening Polish_Opening_Schiffler-Sokolsky_Variation
1YFnv,1rb3k1/pp4pP/2pp1qQ1/6b1/2PP4/P4p2/1P3PP1/3K1B1R b - - 0 24,g8h8 g6e8 f6f8 e8f8,791,79,100,2012,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/8LZyjAez/black#48,
jnauQ,2r1r1k1/5ppp/p1qb4/1p4B1/5PP1/P6P/1PPQ4/2KR3R w - - 0 20,d2d6 c6c2,792,76,100,1324,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/Yj1R3eOD#39,
xo94b,2n1r1k1/p4p1p/2Pn2p1/2Q5/5p2/P3r3/1B4PP/3R2K1 w - - 0 32,c6c7 e3e1 d1e1 e8e1 g1f2 d6e4 f2e1 e4c5,792,78,100,1304,advantage fork middlegame veryLong,https://lichess.org/kc9RxFWd#63,
zNTPj,3r2k1/4rppp/p1N1nb2/Pp1q3P/2pP4/2P2QP1/1P3P2/R4RK1 w - - 0 28,f3d5 d8d5 c6e7 f6e7,793,77,100,1537,advantage middlegame short,https://lichess.org/yT49VnCl#55,
pQ5N9,7k/4R2p/3rp1pB/p7/3r1P2/4b3/P2p2PP/3R3K b - - 4 30,e3f4 e7e8,793,78,100,1335,endgame mate mateIn1 oneMove pillsburysMate,https://lichess.org/3AsUYd63/black#60,
wPm8i,2kr1b1Q/pp3N2/2p1p1p1/2n1P3/5B2/8/PqP3PP/R6K w - - 0 22,a1c1 b2c1 f4c1 d8d1,799,78,100,1719,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/v4WjdiqF#43,
Yacpz,8/8/2r5/3k4/3rp3/1P6/1P6/1K4Q1 w - - 0 56,g1g2 d4d1 b1a2 c6a6,802,76,100,2653,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/bkZl1WUH#111,
Yl9t8,2k1rB2/pp4p1/8/7p/3N4/1BP3b1/PP3nP1/4RR1K w - - 0 25,f1f2 e8e1 f2f1 e1f1,803,79,100,2124,hangingPiece mate mateIn2 middlegame pillsburysMate short,https://lichess.org/plzvt9IN#49,
OJ5ZW,3r2k1/2prqpp1/pp3n1p/3Np1N1/2P5/PP4P1/5P1P/RQ2n1K1 b - - 1 23,f6d5 b1h7 g8f8 h7h8,804,89,100,1902,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/lQuCuvwU/black#46,
yZsfl,3r4/ppp3k1/2n3p1/8/3q1PP1/2RN3P/P2Q2K1/8 b - - 4 39,c6b4 c3c7 d8d7 c7d7,807,77,100,1736,crushing endgame master short,https://lichess.org/wpTIMLZj/black#78,
1SwpQ,6k1/b4pp1/2Q4p/8/P4PNq/2P2R1P/3r4/1R2r2K w - - 2 29,b1e1 h4e1 f3f1 e1f1,808,76,100,1868,mate mateIn2 middlegame short,https://lichess.org/EwoqrvLx#57,
